time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/entropy_loss,train/n_updates,train/loss,train/clip_range,train/value_loss,train/approx_kl,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,rollout/ep_len_mean,train/explained_variance,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
633,16,43,10750,-0.4880821853876114,820,39.840484619140625,0.3,64.13865814208984,0.011492757,308.8529411764706,0.0003,-0.011816908228464342,308.8529411764706,-0.00012433528900146484,0.014799999818205834,,
634,17,44,11000,-0.4954794657230377,830,40.44805908203125,0.3,101.53610473632813,0.00062235806,308.8529411764706,0.0003,-0.000593708771641559,308.8529411764706,-5.8531761169433594e-05,0.0,,
636,17,45,11250,-0.511710706949234,840,41.95535659790039,0.3,67.94016319274903,0.0042560357,314.3142857142857,0.0003,-0.004713969187639578,314.3142857142857,0.0025925636291503906,0.0,,
638,18,46,11500,-0.502958242893219,850,39.54812240600586,0.3,67.25321586608887,0.0033895962,315.8888888888889,0.0003,-0.005168969760198934,315.8888888888889,-0.04466104507446289,0.0011999999731779098,,
637,18,47,11750,-0.501736570596695,860,62.16709899902344,0.3,191.50644653320313,0.006619177,315.8888888888889,0.0003,-0.007860831173323089,315.8888888888889,0.02017909288406372,0.008799999803304672,,
,,,12000,-0.5227756637334824,870,27.758243560791016,0.3,60.55193046569824,0.0016804065,,0.0003,-0.0014104926748739644,,0.36573976278305054,0.0,334.0,334.0
628,19,48,12000,,,,,,,320.86486486486484,,,320.86486486486484,,,,
631,19,49,12250,-0.5267265456914901,880,29.78904151916504,0.3,56.72104858398438,0.0028737735,320.86486486486484,0.0003,-0.0016726477939113238,320.86486486486484,0.6035158634185791,0.0,,
633,19,50,12500,-0.5311798620223999,890,38.810245513916016,0.3,65.24491622924805,0.0004883575,325.57894736842104,0.0003,-0.00029013581358157127,325.57894736842104,0.15130704641342163,0.0,,
635,20,51,12750,-0.5005825680494308,900,37.553104400634766,0.3,61.69200653076172,0.0043519405,325.57894736842104,0.0003,-0.004093205006599873,325.57894736842104,0.16826194524765015,0.0007999999821186065,,
636,20,52,13000,-0.5380282604694366,910,29.01028060913086,0.3,51.05355987548828,0.0025422035,330.05128205128204,0.0003,-0.0003706297609573994,330.05128205128204,0.8089055418968201,0.0,,
638,20,53,13250,-0.5361238825321197,920,35.1047248840332,0.3,61.82281021118164,0.0134120155,322.780487804878,0.0003,-0.005611999349761731,322.780487804878,0.052288591861724854,0.023199999630451204,,
639,21,54,13500,-0.49318467736244204,930,200.92689514160156,0.3,425.06999710083005,0.007703866,322.780487804878,0.0003,-0.013825878912550972,322.780487804878,0.0006500482559204102,0.03239999935030937,,
640,21,55,13750,-0.5469720494747162,940,39.83378601074219,0.3,68.30988555908203,0.0005883511,327.0,0.0003,-0.0008021749774252385,327.0,0.04717278480529785,0.0,,
,,,14000,-0.556822400689125,950,38.12142562866211,0.3,62.930399093627926,0.0013765314,,0.0003,-0.0029858463001204783,,0.055819690227508545,0.0007999999821186065,434.0,434.0
629,22,56,14000,,,,,,,327.0,,,327.0,,,,
634,22,57,14250,-0.553747227191925,960,37.893226623535156,0.3,66.18392028808594,0.00032647216,331.0232558139535,0.0003,-0.0003226990451221923,331.0232558139535,-0.002959132194519043,0.0,,
635,22,58,14500,-0.5478934442996979,970,36.53910446166992,0.3,62.97949501037598,0.0011304364,329.0,0.0003,-0.0023404411026626804,329.0,0.010454773902893066,0.0,,
