time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/loss,train/clip_range,train/value_loss,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/learning_rate,rollout/ep_len_mean,train/entropy_loss,train/n_updates,train/explained_variance,eval/mean_reward,eval/mean_ep_length
394,12,20,5000,95.9111557006836,0.3,142.64356201171876,192.96,-0.002296062203252234,0.0042750826,0.00039999999105930326,0.0003,192.96,-0.6126643478870392,590,-0.00031113624572753906,,
404,12,21,5250,63.24279022216797,0.3,145.08341751098632,201.80769230769232,0.0008547938658156795,0.0013454917,0.0,0.0003,201.80769230769232,-0.5807249939441681,600,-0.0002334117889404297,,
385,14,22,5500,66.30451965332031,0.3,150.91970878601074,201.80769230769232,-0.006449052829318677,0.0068245716,0.0007999999821186065,0.0003,201.80769230769232,-0.5763273191452026,610,-4.7206878662109375e-05,,
361,15,23,5750,42.04220199584961,0.3,71.63857711791992,212.85185185185185,-0.0020703123116501843,0.0006877413,0.0,0.0003,212.85185185185185,-0.5825605058670044,620,-0.002196788787841797,,
,,,6000,71.90120697021484,0.3,155.99267051696776,,-0.00026899791248141013,0.00019855476,0.0,0.0003,,-0.5685961472988129,630,3.063678741455078e-05,478.6,478.6
354,16,24,6000,,,,212.85185185185185,,,,,212.85185185185185,,,,,
362,17,25,6250,42.74738311767578,0.3,71.33411720275879,223.10714285714286,-0.0006578444308892273,0.00029323672,0.0,0.0003,223.10714285714286,-0.5915465879440308,640,-0.001191854476928711,,
367,17,26,6500,41.9073371887207,0.3,70.29530960083008,223.10714285714286,-0.00033508089694123556,6.901956e-05,0.0,0.0003,223.10714285714286,-0.6202280044555664,650,0.0007726550102233887,,
373,18,27,6750,42.46803283691406,0.3,71.02797401428222,232.6551724137931,2.4171698064492376e-05,3.4935474e-06,0.0,0.0003,232.6551724137931,-0.5833200550079346,660,-0.001485586166381836,,
379,18,28,7000,42.50223922729492,0.3,69.99442962646485,232.6551724137931,-0.0008033508313587845,0.00046863066,0.0,0.0003,232.6551724137931,-0.6161205732822418,670,0.0007669329643249512,,
386,18,29,7250,42.72275924682617,0.3,70.71770187377929,239.26666666666668,4.514472860165597e-05,1.41538385e-05,0.0,0.0003,239.26666666666668,-0.594139586687088,680,0.0019216537475585938,,
389,19,30,7500,50.923866271972656,0.3,168.76818153381348,239.83870967741936,-0.014255136026232549,0.010185021,0.007999999895691872,0.0003,239.83870967741936,-0.5777070593833923,690,-0.00021064281463623047,,
392,19,31,7750,40.661136627197266,0.3,171.59828742980957,239.40625,-0.011734164814377444,0.006064956,0.007999999821186066,0.0003,239.40625,-0.5650643134117126,700,-0.00015425682067871094,,
,,,8000,67.9114990234375,0.3,174.4566033935547,,-0.010798617941395819,0.011403173,0.004399999901652336,0.0003,,-0.5463954466581344,710,-0.00012123584747314453,419.6,419.6
389,20,32,8000,,,,239.40625,,,,,239.40625,,,,,
